Birim,İlçe,Statü,İstasyon Adresi,Koordinat (Y),Koordinat (X)
Beyoğlu İtfaiye İstasyonu,Şişli,Grup Amirliği,Harbiye Mh. Gümüş Sk. No:8   Şişli,28.990542219,41.048384752
Mecidiyeköy İtfaiye İstasyonu,Şişli,Müfreze Amirliği,Fulya Mh. Garaj Sk. No:12 Mecidiyeköy Şişli,28.997427394,41.065135533
Beşiktaş İtfaiye İstasyonu,Beşiktaş,Grup Amirliği,Yıldız Mh. Yıldız Park İçi Orhaniye Kapısı No:43 Beşiktaş,29.019197822,41.048907595
Ortaköy İtfaiye İstasyonu,Beşiktaş,Müfreze Amirliği,Arnavutköy Mh. Kireçhane Sk. No:34  Beşiktaş,29.041893143,41.069589526
Seyrantepe İtfaiye İstasyonu,Kağıthane,Müfreze Amirliği,Seyrantepe Mh. İ.Karaosmanoğlu Cd. NO:52 Seyrantepe,28.988800095,41.095948262
İstinye İtfaiye İstasyonu,Sarıyer,Grup Amirliği,İstinye Cd. No:106 İstinye,29.05481402,41.114894636
Sarıyer İtfaiye İstasyonu,Sarıyer,Grup Amirliği,Büyükdere Mh. Maltızderesi Sk. No:15 Sarıyer,29.038967376,41.160080278
Şişli İtfaiye İstasyonu,Şişli,Grup Amirliği,Halil Rıfat Paşa Mh. Taşkızak Cd. No:3 Şişli,28.966381447,41.058118426
Hacıosman  İtfaiye İstasyonu,Sarıyer,Müfreze Amirliği,Büyükdere Cd. Hacıosman Boğaziçi İmar Müdürlüğü İçi Sarıyer,29.026709958,41.135562725
Maden  İtfaiye İstasyonu,Sarıyer,Müfreze Amirliği,Zekeriyaköy Mh. Kilyos Caddesi No:204 Sarıyer,29.043114752,41.186185514
Kağıthane  İtfaiye İstasyonu,Eyüpsultan,Müfreze Amirliği,Merkez Mh. Osmanpaşa Cd. İski İçi No:7 Nurtepe Kağıthane,28.965028996,41.086256038
