GEOHASH,LATITUDE,LONGITUDE,ilce,cluster,dist
sxkdhz,41.17401123046875,29.0423583984375,Sarıyer,0,3.3527612686157227e-06
sxk9u4,41.10260009765625,29.0093994140625,Sarıyer,1,0.0
sxkdk5,41.19598388671875,29.0093994140625,Sarıyer,2,0.0
sxk9ee,41.06414794921875,28.9874267578125,Şişli,3,7.543712854385376e-06
sxk9ub,41.09161376953125,29.0423583984375,Sarıyer,4,7.543712854385376e-06
sxkdt0,41.22344970703125,29.0533447265625,Sarıyer,5,7.543712854385376e-06
sxkde3,41.22894287109375,28.9764404296875,Sarıyer,6,0.0
sxkdh5,41.15203857421875,29.0093994140625,Sarıyer,7,0.0
sxk9g3,41.09710693359375,28.9764404296875,Kağıthane,8,0.0
sxk9s3,41.05316162109375,29.0203857421875,Beşiktaş,9,0.0
sxk9uv,41.11907958984375,29.0423583984375,Sarıyer,10,0.0
sxkds3,41.22894287109375,29.0203857421875,Sarıyer,11,0.0
sxkdmz,41.21795654296875,29.0863037109375,Sarıyer,12,0.0
sxk9sk,41.06964111328125,29.0203857421875,Beşiktaş,13,7.543712854385376e-06
sxkdhf,41.14654541015625,29.0423583984375,Sarıyer,14,0.0
sxkd5x,41.17401123046875,28.9874267578125,Sarıyer,15,0.0
sxk9dg,41.06414794921875,28.9544677734375,Kağıthane,16,0.0
sxkddd,41.23443603515625,28.9434814453125,Sarıyer,17,1.6763806343078613e-05
sxkdku,41.20147705078125,29.0423583984375,Sarıyer,18,7.543712854385376e-06
sxk9gb,41.09161376953125,28.9984130859375,Kağıthane,19,7.543712854385376e-06
sxk9us,41.11358642578125,29.0313720703125,Sarıyer,20,0.0
sxk9tp,41.08612060546875,29.0533447265625,Sarıyer,21,0.0
sxk9ew,41.08062744140625,28.9874267578125,Kağıthane,22,0.0
sxkd7z,41.21795654296875,28.9984130859375,Sarıyer,23,7.543712854385376e-06
sxk9u9,41.09710693359375,29.0313720703125,Sarıyer,24,0.0
sxkdk3,41.18499755859375,29.0203857421875,Sarıyer,25,1.6763806343078613e-05
sxk9vr,41.13006591796875,29.0643310546875,Sarıyer,26,0.0
sxk9gj,41.11907958984375,28.9654541015625,Sarıyer,27,7.543712854385376e-06
sxk9eb,41.04766845703125,28.9984130859375,Beşiktaş,28,7.543712854385376e-06
sxkdhd,41.14654541015625,29.0313720703125,Sarıyer,29,7.543712854385376e-06
sxkds8,41.22344970703125,29.0313720703125,Sarıyer,30,0.0
sxkdsg,41.23992919921875,29.0423583984375,Sarıyer,31,7.543712854385376e-06
sxk9ej,41.07513427734375,28.9654541015625,Kağıthane,32,0.0
sxk9uk,41.11358642578125,29.0203857421875,Sarıyer,33,0.0
sxk9g4,41.10260009765625,28.9654541015625,Kağıthane,34,1.6763806343078613e-05
sxk9sd,41.05865478515625,29.0313720703125,Beşiktaş,35,0.0
sxkdhj,41.16302490234375,29.0093994140625,Sarıyer,36,7.543712854385376e-06
sxk9ev,41.07513427734375,28.9984130859375,Şişli,37,0.0
sxkd5y,41.16851806640625,28.9984130859375,Sarıyer,38,3.0174851417541504e-05
sxk9ur,41.13006591796875,29.0203857421875,Sarıyer,39,7.543712854385376e-06
sxk9e4,41.05865478515625,28.9654541015625,Şişli,40,0.0
sxkdm1,41.18499755859375,29.0533447265625,Sarıyer,41,0.0
sxkdqj,41.20697021484375,29.0972900390625,Sarıyer,42,7.543712854385376e-06
sxkdhw,41.16851806640625,29.0313720703125,Sarıyer,43,7.543712854385376e-06
sxk9sv,41.07513427734375,29.0423583984375,Beşiktaş,44,0.0
sxk9g9,41.09710693359375,28.9874267578125,Kağıthane,45,0.0
sxk9ge,41.10809326171875,28.9874267578125,Sarıyer,46,7.543712854385376e-06
sxk9s5,41.06414794921875,29.0093994140625,Beşiktaş,47,0.0
sxkdkd,41.19049072265625,29.0313720703125,Sarıyer,48,0.0
sxkd5u,41.15753173828125,28.9984130859375,Sarıyer,49,7.543712854385376e-06
sxk9uz,41.13006591796875,29.0423583984375,Sarıyer,50,7.543712854385376e-06
sxk9e8,41.04766845703125,28.9874267578125,Şişli,51,0.0
sxk9v4,41.10260009765625,29.0533447265625,Sarıyer,52,0.0
sxkdsc,41.22894287109375,29.0423583984375,Sarıyer,53,0.0
sxk9u2,41.09161376953125,29.0203857421875,Beşiktaş,54,7.543712854385376e-06
sxk9e3,41.05316162109375,28.9764404296875,Şişli,55,0.0
sxk9sq,41.08062744140625,29.0203857421875,Beşiktaş,56,7.543712854385376e-06
sxkdkp,41.21795654296875,29.0093994140625,Sarıyer,57,7.543712854385376e-06
sxk9e7,41.06414794921875,28.9764404296875,Şişli,58,7.543712854385376e-06
sxk9gg,41.10809326171875,28.9984130859375,Sarıyer,59,0.0
sxkdjp,41.17401123046875,29.0533447265625,Sarıyer,60,0.0
sxkdse,41.23992919921875,29.0313720703125,Sarıyer,61,0.0
sxk9s0,41.04766845703125,29.0093994140625,Beşiktaş,62,0.0
sxkdh7,41.15203857421875,29.0203857421875,Sarıyer,63,7.543712854385376e-06
sxk9sn,41.08062744140625,29.0093994140625,Şişli,64,0.0
sxkdt8,41.22344970703125,29.0753173828125,Sarıyer,65,7.543712854385376e-06
sxk9ux,41.13006591796875,29.0313720703125,Sarıyer,66,0.0
sxk9eq,41.08062744140625,28.9764404296875,Kağıthane,67,0.0
sxkde1,41.22894287109375,28.9654541015625,Sarıyer,68,7.543712854385376e-06
sxk9vh,41.11358642578125,29.0533447265625,Sarıyer,69,7.543712854385376e-06
sxk9gk,41.11358642578125,28.9764404296875,Sarıyer,70,7.543712854385376e-06
sxkdkt,41.20697021484375,29.0313720703125,Sarıyer,71,7.543712854385376e-06
sxk9sw,41.08062744140625,29.0313720703125,Beşiktaş,72,0.0
sxkdj0,41.13555908203125,29.0533447265625,Sarıyer,73,7.543712854385376e-06
sxk9vm,41.11907958984375,29.0643310546875,Sarıyer,74,7.543712854385376e-06
sxkd7c,41.18499755859375,28.9984130859375,Sarıyer,75,7.543712854385376e-06
sxkdkc,41.18499755859375,29.0423583984375,Sarıyer,76,7.543712854385376e-06
sxkdkk,41.20147705078125,29.0203857421875,Sarıyer,77,7.543712854385376e-06
sxkdt2,41.22344970703125,29.0643310546875,Sarıyer,78,7.543712854385376e-06
sxkde8,41.22344970703125,28.9874267578125,Sarıyer,79,7.543712854385376e-06
